省份,城市,城市代码,24小时累积雨量(mm)
黑龙江省,桦川,50878,18.8
黑龙江省,乌伊岭,50674,18.4
广西壮族自治区,资源,57859,18.4
云南省,建水,56973,18.3
福建省,德化,58935,18.1
广西壮族自治区,容县,59452,18.1
黑龙江省,七台河,50971,18.1
四川省,广安,57415,18.1
广西壮族自治区,凤山,59021,18.0
福建省,永安,58921,18.0
江西省,遂川,57896,18.0
黑龙江省,穆棱,54093,17.9
四川省,马尔康,56172,17.8
福建省,建瓯,58737,17.7
浙江省,永嘉,58658,17.7
四川省,武胜,57417,17.7
贵州省,独山,57922,17.6
广东省,阳江,59663,17.6
重庆市,潼南,57409,17.5
广西壮族自治区,来宾,59242,17.4
甘肃省,正宁,53935,17.4
广东省,江门,594760,17.2
广东省,新会,59476,17.2
福建省,华安,58928,17.1
贵州省,纳雍,57800,16.9
黑龙江省,鸡东,50987,16.8
江西省,于都,58905,16.799999999999997
福建省,漳州,59126,16.7
福建省,龙岩,58927,16.7
福建省,浦城,58731,16.5
四川省,仁和,56674,16.5
广西壮族自治区,百色,59211,16.3
黑龙江省,鸡西,50978,16.2
四川省,渠县,57413,16.2
黑龙江省,逊克,50566,16.1
湖南省,宜章,57976,16.099999999999998
福建省,宁化,58818,15.6
福建省,三明,58828,15.6
广东省,五华,59303,15.6
广西壮族自治区,乐业,59012,15.5
江西省,上饶,58637,15.5
四川省,德昌,56569,15.4
四川省,盐源,56565,15.4
云南省,禄劝,56775,15.3
福建省,闽侯,58844,15.2
四川省,金阳,56584,15.1
广东省,连南,59071,15.1
黑龙江省,北安,50656,15.1
广东省,南澳,59324,14.899999999999999
四川省,南江,57216,14.799999999999999
江西省,泰和,57899,14.700000000000001
云南省,玉溪,56875,14.700000000000001
陕西省,洛南,57057,14.7
海南省,昌江,59847,14.4
四川省,盐边,56665,14.399999999999999
福建省,永春,58934,14.2
福建省,沙县,58826,14.2
湖南省,宁远,57966,14.1
四川省,汶川,56183,14.1
福建省,南安,59131,14.0
福建省,长乐,58941,14.0
广东省,新兴,59470,14.0
四川省,遂宁,57405,14.0
四川省,华蓥山,57418,13.9
﻿广西壮族自治区,北流,59451,13.9
江西省,宜黄,58714,13.9
江西省,会昌,58906,13.8
江西省,吉安,57799,13.5
福建省,安溪,58929,13.5
贵州省,普定,57808,13.5
贵州省,荔波,57926,13.5
湖南省,资兴,57981,13.4
陕西省,蓝田,57047,13.2
广东省,紫金,59304,13.2
陕西省,宜君,53945,13.2
福建省,永定,59113,13.2
四川省,攀枝花,56666,13.2
福建省,松溪,58735,13.2
黑龙江省,伊春,50774,13.0
新疆维吾尔自治区,乌苏,51346,13.0
浙江省,临海,58660,13.0
广西壮族自治区,合浦,59640,12.700000000000001
浙江省,苍南,58755,12.7
浙江省,永康,58643,12.7
浙江省,武义,58642,12.6
广西壮族自治区,灵山,59446,12.6
黑龙江省,勃利,50973,12.5
广东省,揭西,59306,12.5
广东省,高要,59278,12.4
广东省,肇庆,592780,12.4
广西壮族自治区,梧州,59265,12.4
重庆市,万盛,57509,12.399999999999999
贵州省,三都,57923,12.3
福建省,霞浦,58843,12.2
四川省,宁南,56578,12.2
浙江省,浦江,58546,12.2
江西省,铅山,58629,12.1
福建省,龙海,59127,12.0
陕西省,洛川,53942,12.0
陕西省,城固,57128,12.0
陕西省,黄龙,53946,12.0
贵州省,紫云,57910,12.0
四川省,普格,56575,11.9
贵州省,镇宁,57809,11.9
广东省,遂溪,59650,11.9
云南省,屏边,56986,11.899999999999999
广东省,曲江,59085,11.899999999999999
广东省,韶关,59082,11.899999999999999
江西省,南城,58715,11.899999999999999
陕西省,洋县,57126,11.8
四川省,通江,57320,11.8
四川省,金川,56168,11.8
浙江省,龙泉,58647,11.799999999999999
广东省,连平,59096,11.7
湖南省,桂阳,57973,11.7
陕西省,长武,53929,11.7
陕西省,汉中,57127,11.6
