省份,城市,城市代码,24小时累积雨量(mm)
广东省,斗门,59487,1.1
青海省,班玛,56151,1.1
河南省,嵩县,57162,1.1
西藏自治区,索县,56106,1.1
四川省,南溪,56493,1.1
贵州省,修文,57811,1.1
西藏自治区,贡觉,56233,1.1
浙江省,玉环,58667,1.1
吉林省,磐石,54263,1.1
云南省,大姚,56761,1.0
吉林省,柳河,54267,1.0
吉林省,安图,54187,1.0
江西省,余江,58616,1.0
四川省,安县,56190,1.0
四川省,峨眉山,56385,1.0
贵州省,花溪,57914,1.0
河南省,驻马店市,57290,1.0
江西省,贵溪,58626,1.0
贵州省,清镇,57813,1.0
湖南省,冷水滩,57865,1.0
贵州省,开阳,57719,1.0
江西省,鹰潭,58627,0.9999999999999999
山西省,翼城,53962,0.9999999999999999
甘肃省,华池,53930,0.9
广西壮族自治区,昭平,59059,0.9
四川省,崇庆,56181,0.9
黑龙江省,双城,50955,0.9
河南省,鲁山,57173,0.9
贵州省,岑巩,57735,0.9
四川省,峨眉,56384,0.8999999999999999
黑龙江省,嫩江,50557,0.8
贵州省,乌当,57915,0.8
湖南省,衡阳县,57871,0.8
黑龙江省,尚志,50968,0.8
黑龙江省,阿城,50958,0.8
四川省,乐山,56386,0.8
云南省,大关,56582,0.8
吉林省,通化,54363,0.7999999999999999
黑龙江省,安达,50854,0.7999999999999999
浙江省,上虞,58553,0.7999999999999999
河南省,舞钢,57177,0.7000000000000001
江西省,横峰,58625,0.7000000000000001
河南省,洛宁县,57066,0.7000000000000001
甘肃省,天水,57006,0.7000000000000001
河南省,叶县,57184,0.7000000000000001
湖南省,邵阳县,57860,0.7
福建省,崇武,59133,0.7
新疆维吾尔自治区,炮台,51352,0.7
湖南省,新晃,57744,0.7
黑龙江省,兰西,50859,0.7
浙江省,三门,58568,0.7
江西省,崇仁,58710,0.7
甘肃省,清水,57011,0.7
新疆维吾尔自治区,轮台,51642,0.7
江西省,樟树,58608,0.6000000000000001
河南省,博爱县,53979,0.6000000000000001
黑龙江省,林甸,50749,0.6000000000000001
贵州省,汇川,57712,0.6000000000000001
江西省,宁都,58806,0.6000000000000001
重庆市,忠县,57437,0.6000000000000001
贵州省,黄平,57822,0.6000000000000001
西藏自治区,嘉黎,56202,0.6
河南省,唐河,57273,0.6
浙江省,磐安,58560,0.6
新疆维吾尔自治区,特克斯,51438,0.6
广西壮族自治区,涠洲,59647,0.6
河南省,舞阳县,57185,0.6
吉林省,辉南,54274,0.6
四川省,资阳,56298,0.6
湖南省,双牌,57962,0.6
福建省,泰宁,58820,0.6
甘肃省,成县,57102,0.6
河南省,西平县,57188,0.5
甘肃省,麦积,57014,0.5
安徽省,芜湖县,58338,0.5
云南省,嵩明,56785,0.5
甘肃省,文县,56192,0.5
云南省,红河,56975,0.5
重庆市,万州,57432,0.5
青海省,河南,56065,0.5
安徽省,临泉,58107,0.5
江西省,宜春,57793,0.5
吉林省,双阳,54165,0.5
河南省,宝丰,57181,0.4
河南省,上蔡县,57194,0.4
青海省,玛多,56033,0.4
青海省,玉树,56029,0.4
四川省,彭县,56189,0.4
青海省,格尔木,52818,0.4
青海省,杂多,56018,0.4
西藏自治区,江达,56136,0.4
青海省,天峻,52745,0.4
广西壮族自治区,西林,59004,0.4
河南省,新野,57271,0.4
四川省,宜宾,56492,0.4
河南省,汝南县,57197,0.4
河南省,泌阳县,57281,0.4
黑龙江省,呼中,50247,0.4
江西省,抚州,58617,0.4
新疆维吾尔自治区,博乐,51238,0.4
贵州省,江口,57736,0.4
西藏自治区,浪卡子,55681,0.4
四川省,什邡,56197,0.4
﻿广东省,连平,59096,0.4
四川省,井研,56390,0.4
江西省,抚州,58619,0.4
吉林省,扶余,54063,0.39999999999999997
四川省,高县,56592,0.39999999999999997
西藏自治区,比如,56109,0.39999999999999997
江西省,安福,57798,0.30000000000000004
贵州省,台江,57834,0.30000000000000004
辽宁省,清原,54259,0.30000000000000004
江西省,芦溪,57794,0.30000000000000004
河南省,平舆县,57292,0.30000000000000004
江西省,崇义,57990,0.30000000000000004
江西省,上栗,57783,0.30000000000000004
四川省,新龙,56251,0.30000000000000004
河南省,平顶山,57171,0.30000000000000004
湖北省,兴山,57359,0.30000000000000004
四川省,峨边,56387,0.30000000000000004
四川省,眉山,56391,0.30000000000000004
河南省,南阳市,57178,0.30000000000000004
吉林省,前郭,50949,0.30000000000000004
河南省,新蔡县,57293,0.30000000000000004
广西壮族自治区,那坡,59209,0.30000000000000004
黑龙江省,青冈,50851,0.30000000000000004
山西省,浮山,53966,0.30000000000000004
江西省,广昌,58813,0.30000000000000004
河南省,三门峡,57051,0.30000000000000004
贵州省,铜仁,57741,0.3
四川省,理县,56184,0.3
四川省,温江,56187,0.3
浙江省,平湖,58464,0.3
四川省,龙泉驿,56286,0.3
四川省,成都,56294,0.3
吉林省,长春,54161,0.3
湖南省,浏阳,57688,0.3
云南省,富源,56790,0.3
西藏自治区,安多,55294,0.3
四川省,德阳,56198,0.2
河南省,济源,53978,0.2
云南省,新平,56869,0.2
﻿贵州省,望谟,57906,0.2
四川省,宜宾县,56491,0.2
河南省,武陟县,53987,0.2
云南省,彝良,56594,0.2
河南省,汝阳县,57078,0.2
贵州省,遵义县,57717,0.2
西藏自治区,贡噶,55589,0.2
山西省,平陆,57061,0.2
贵州省,遵义,57713,0.2
海南省,三亚,59948,0.2
广西壮族自治区,龙胜,57942,0.2
吉林省,德惠,54065,0.2
浙江省,余姚,58468,0.2
安徽省,舒城,58316,0.2
湖北省,巴东,57355,0.2
黑龙江省,富裕,50742,0.2
云南省,富宁,59205,0.2
贵州省,绥阳,57720,0.2
内蒙古自治区,鄂伦春旗,50445,0.2
江西省,萍乡,57786,0.2
湖南省,炎陵,57886,0.2
安徽省,阜南,58202,0.2
湖北省,钟祥,57378,0.2
﻿重庆市,长寿,57520,0.2
吉林省,集安,54377,0.2
黑龙江省,讷河,50646,0.2
宁夏回族自治区,泾源,53916,0.2
四川省,罗江,56191,0.2
安徽省,界首,58108,0.2
山西省,阳城,53975,0.2
湖南省,衡山,57777,0.2
四川省,郫县,56272,0.2
河南省,襄城,57182,0.1
江西省,金溪,58712,0.1
西藏自治区,错那,55690,0.1
贵州省,锦屏,57844,0.1
江西省,宜丰,57696,0.1
重庆市,开县,57338,0.1
四川省,彭山,56289,0.1
辽宁省,昌图,54243,0.1
四川省,新津,56276,0.1
新疆维吾尔自治区,新源,51436,0.1
河南省,确山县,57294,0.1
陕西省,延安,53845,0.1
吉林省,和龙,54286,0.1
辽宁省,新宾,54353,0.1
安徽省,阜阳,58203,0.1
甘肃省,礼县,57007,0.1
新疆维吾尔自治区,温泉,51330,0.1
西藏自治区,丁青,56116,0.1
四川省,金堂,56296,0.1
四川省,阿坝,56171,0.1
贵州省,施秉,57737,0.1
安徽省,黄山风景区,58437,0.1
四川省,德格,56144,0.1
辽宁省,大石桥,54475,0.1
安徽省,霍山,58314,0.1
江西省,东乡,58618,0.1
四川省,广汉,56291,0.1
西藏自治区,桑日,55599,0.1
四川省,青神,56383,0.1
贵州省,凤冈,57723,0.1
辽宁省,开原,54254,0.1
新疆维吾尔自治区,青河,51186,0.1
江苏省,泰州,58246,0.1
吉林省,九台,54069,0.1
安徽省,蚌埠,58221,0.1
广东省,罗定,59462,0.1
安徽省,利辛,58117,0.1
安徽省,太和,58109,0.1
广西壮族自治区,钟山,59064,0.1
广西壮族自治区,阳朔,59051,0.1
青海省,玛沁,56043,0.1
湖南省,醴陵,57781,0.1
上海市,崇明,58366,0.1
广东省,清远,59280,0.1
甘肃省,崆峒,53915,0.1
湖南省,桂东,57889,0.1
黑龙江省,呼玛,50353,0.1
黑龙江省,肇州,50950,0.1
甘肃省,庄浪,53917,0.1
广西壮族自治区,兴安,57955,0.1
湖南省,临武,57978,0.1
湖南省,汝城,57985,0.1
海南省,文昌,59856,0.1
湖南省,武冈,57853,0.1
湖南省,桃源,57661,0.0
宁夏回族自治区,贺兰,53610,0.0
宁夏回族自治区,西吉,53903,0.0
湖南省,慈利,57564,0.0
湖南省,张家界,57558,0.0
西藏自治区,尼玛,55361,0.0
西藏自治区,岗巴,55677,0.0
湖南省,永顺,57643,0.0
湖南省,平江,57682,0.0
湖南省,汉寿,57663,0.0
吉林省,洮南,50939,0.0
湖南省,常德,57662,0.0
湖南省,岳阳,57584,0.0
西藏自治区,尼木,55585,0.0
宁夏回族自治区,银川,53614,0.0
吉林省,白城,50936,0.0
西藏自治区,左贡,56331,0.0
吉林省,双辽,54142,0.0
湖南省,安化,57669,0.0
西藏自治区,帕里,55773,0.0
西藏自治区,康马,55676,0.0
宁夏回族自治区,陶乐,53615,0.0
湖南省,安乡,57577,0.0
湖南省,江华,59063,0.0
湖南省,新化,57761,0.0
西藏自治区,察雅,56235,0.0
吉林省,四平,54157,0.0
西藏自治区,堆龙德庆,55594,0.0
湖南省,桃江,57666,0.0
西藏自治区,仁布,55587,0.0
吉林省,大安,50945,0.0
西藏自治区,仲巴,55542,0.0
湖南省,桑植,57554,0.0
西藏自治区,八宿,56228,0.0
西藏自治区,南木林,55572,0.0
宁夏回族自治区,永宁,53618,0.0
西藏自治区,双湖,55178,0.0
西藏自治区,吉隆,55650,0.0
吉林省,松原,50946,0.0
西藏自治区,墨竹贡卡,55593,0.0
宁夏回族自治区,盐池,53723,0.0
湖南省,永州,57866,0.0
西藏自治区,墨脱,56319,0.0
宁夏回族自治区,海原,53806,0.0
湖南省,宁乡,57678,0.0
吉林省,梨树,54154,0.0
湖南省,望城区,P5600,0.0
西藏自治区,定日,55664,0.0
湖南省,新邵,57768,0.0
西藏自治区,定结,55666,0.0
西藏自治区,察隅,56434,0.0
宁夏回族自治区,灵武,53619,0.0
宁夏回族自治区,隆德,53914,0.0
西藏自治区,拉萨,55591,0.0
西藏自治区,扎囊,55691,0.0
西藏自治区,泽当,55598,0.0
西藏自治区,洛隆,56223,0.0
安徽省,九华,58423,0.0
湖北省,黄陂,57491,0.0
西藏自治区,狮泉河,55228,0.0
湖北省,黄石,58407,0.0
西藏自治区,班戈,55279,0.0
西藏自治区,琼结,55597,0.0
西藏自治区,申扎,55472,0.0
西藏自治区,白朗,55579,0.0
西藏自治区,米林,56317,0.0
湖北省,黄梅,58409,0.0
西藏自治区,类乌齐,56128,0.0
湖北省,黄冈,57498,0.0
西藏自治区,聂拉木,55655,0.0
吉林省,公主岭,54156,0.0
湖北省,麻城,57399,0.0
西藏自治区,芒康,56342,0.0
西藏自治区,萨嘎,55554,0.0
西藏自治区,萨迦,55670,0.0
西藏自治区,谢通门,55574,0.0
湖北省,鹤峰,57543,0.0
湖北省,随州,57381,0.0
湖北省,阳新,58500,0.0
西藏自治区,边坝,56211,0.0
西藏自治区,达孜,55595,0.0
西藏自治区,那曲,55299,0.0
湖北省,长阳,57464,0.0
湖北省,鄂州,57496,0.0
西藏自治区,隆子,55696,0.0
西藏自治区,洛扎,55686,0.0
西藏自治区,波密,56227,0.0
西藏自治区,拉孜,55569,0.0
湖南省,临湘,57585,0.0
湖南省,娄底,57763,0.0
吉林省,农安,54064,0.0
西藏自治区,措美,55694,0.0
西藏自治区,改则,55248,0.0
西藏自治区,日喀则,55578,0.0
宁夏回族自治区,青铜峡,53617,0.0
西藏自治区,日土,55125,0.0
安徽省,东至,58419,0.0
湖南省,吉首,57649,0.0
西藏自治区,昂仁,55568,0.0
湖南省,古丈,57646,0.0
湖南省,双峰,57774,0.0
西藏自治区,昌都,56137,0.0
西藏自治区,普兰,55437,0.0
湖南省,南县,57574,0.0
西藏自治区,曲松,55693,0.0
湖南省,华容,57575,0.0
湖南省,凤凰,57740,0.0
湖南省,冷水江,57760,0.0
西藏自治区,曲水,55586,0.0
西藏自治区,朗县,56308,0.0
湖南省,保靖,57642,0.0
西藏自治区,札达,55325,0.0
西藏自治区,林周,55590,0.0
西藏自治区,林芝,56312,0.0
湖南省,会同,57842,0.0
西藏自治区,樟木,55652,0.0
湖南省,临澧,57566,0.0
西藏自治区,江孜,55680,0.0
湖南省,江永,57969,0.0
吉林省,通榆,54041,0.0
湖南省,汨罗,57680,0.0
甘肃省,临泽,52557,0.0
天津市,津南,54622,0.0
甘肃省,安定,52995,0.0
甘肃省,肃北,52515,0.0
甘肃省,肃南,52643,0.0
甘肃省,舟曲,56094,0.0
甘肃省,西和,57008,0.0
天津市,滨海新区,54623,0.0
甘肃省,迭部,56084,0.0
甘肃省,天祝,52881,0.0
甘肃省,通渭,53908,0.0
甘肃省,夏河,52978,0.0
甘肃省,嘉峪关,52532,0.0
甘肃省,酒泉,52533,0.0
甘肃省,金塔,52447,0.0
甘肃省,金昌,52675,0.0
甘肃省,和政,52985,0.0
天津市,蓟县,54428,0.0
四川省,雅江,56267,0.0
甘肃省,合作,56080,0.0
甘肃省,陇西,56092,0.0
甘肃省,靖远,52895,0.0
甘肃省,静宁,53906,0.0
甘肃省,高台,52546,0.0
甘肃省,古浪,52784,0.0
甘肃省,卓尼,56082,0.0
天津市,西青,54527,0.0
甘肃省,兰州,52889,0.0
甘肃省,会宁,52993,0.0
甘肃省,临潭,56081,0.0
甘肃省,山丹,52661,0.0
甘肃省,岷县,56093,0.0
甘肃省,碌曲,56071,0.0
天津市,北辰,54528,0.0
甘肃省,榆中,52983,0.0
天津市,大港,54645,0.0
甘肃省,武威,52679,0.0
甘肃省,敦煌,52418,0.0
甘肃省,武山,57004,0.0
甘肃省,武都,56096,0.0
甘肃省,民乐,52656,0.0
天津市,天津,54517,0.0
甘肃省,民勤,52681,0.0
甘肃省,永昌,52674,0.0
甘肃省,张掖,52652,0.0
甘肃省,永登,52885,0.0
甘肃省,永靖,52980,0.0
天津市,宁河,54529,0.0
甘肃省,皋兰,52884,0.0
天津市,宝坻,54525,0.0
甘肃省,康乐,52988,0.0
甘肃省,渭源,52998,0.0
甘肃省,漳县,56091,0.0
天津市,东丽,54526,0.0
天津市,武清,54523,0.0
西藏自治区,革吉,55234,0.0
甘肃省,玛曲,56074,0.0
甘肃省,环县,53821,0.0
甘肃省,瓜州,52424,0.0
甘肃省,广河,52982,0.0
天津市,汉沽,54530,0.0
甘肃省,白银,52896,0.0
甘肃省,临洮,52986,0.0
甘肃省,临夏,52984,0.0
吉林省,辽源,54260,0.0
四川省,若尔盖,56079,0.0
湖南省,花垣,57640,0.0
宁夏回族自治区,惠农,53519,0.0
湖南省,绥宁,57846,0.0
湖南省,祁阳,57868,0.0
湖南省,祁东,57870,0.0
湖南省,石门,57562,0.0
湖南省,益阳,57674,0.0
四川省,小金,56178,0.0
湖南省,澧县,57565,0.0
湖南省,溆浦,57752,0.0
湖南省,湘阴,57673,0.0
四川省,双流,56288,0.0
四川省,南坪,56097,0.0
湖南省,湘潭,57773,0.0
湖南省,湘江新区,57687,0.0
四川省,仁寿,56297,0.0
湖南省,湘乡,57772,0.0
湖南省,涟源,57762,0.0
湖南省,洪江,57754,0.0
四川省,乡城,56443,0.0
湖南省,洞口,57758,0.0
四川省,丹巴,56263,0.0
湖南省,泸溪,57657,0.0
湖南省,沅陵,57655,0.0
吉林省,长岭,54049,0.0
吉林省,镇赉,50940,0.0
甘肃省,景泰,52797,0.0
吉林省,通化县,54362,0.0
湖南省,沅江,57671,0.0
宁夏回族自治区,彭阳,53913,0.0
宁夏回族自治区,平罗,53611,0.0
四川省,巴塘,56247,0.0
四川省,泸定,56371,0.0
天津市,静海,54619,0.0
四川省,绵阳,56196,0.0
甘肃省,东乡,52981,0.0
四川省,稻城,56357,0.0
四川省,石棉,56378,0.0
湖南省,龙山,57544,0.0
湖南省,麻阳,57743,0.0
湖南省,韶山,57771,0.0
四川省,理塘,56257,0.0
湖南省,靖州,57841,0.0
湖南省,隆回,57767,0.0
湖南省,长沙县,P5599,0.0
湖南省,长沙,57679,0.0
四川省,江油,56195,0.0
宁夏回族自治区,大武口,53518,0.0
四川省,新都,56290,0.0
宁夏回族自治区,中卫,53704,0.0
湖南省,邵阳市,57766,0.0
湖南省,邵东,57769,0.0
宁夏回族自治区,中宁,53705,0.0
湖南省,通道,57845,0.0
湖南省,辰溪,57658,0.0
四川省,得荣,56441,0.0
宁夏回族自治区,同心,53810,0.0
宁夏回族自治区,吴忠,53612,0.0
宁夏回族自治区,固原,53817,0.0
湖南省,衡东,57778,0.0
四川省,康定,56374,0.0
甘肃省,玉门,52436,0.0
山西省,襄垣,53884,0.0
吉林省,乾安,50948,0.0
青海省,同仁,52974,0.0
云南省,盈江,56836,0.0
青海省,德令哈,52737,0.0
青海省,循化,52972,0.0
青海省,平安,52875,0.0
青海省,尖扎,52963,0.0
青海省,大通,52862,0.0
青海省,大柴旦,52713,0.0
青海省,囊谦,56125,0.0
青海省,同德,52957,0.0
青海省,化隆,52877,0.0
云南省,瑞丽,56838,0.0
青海省,刚察,52754,0.0
青海省,冷湖,52602,0.0
青海省,兴海,52943,0.0
青海省,共和,52856,0.0
青海省,互助,52863,0.0
青海省,乐都,52874,0.0
青海省,乌兰,52833,0.0
青海省,久治,56067,0.0
云南省,石林,56881,0.0
青海省,民和,52876,0.0
青海省,泽库,52968,0.0
云南省,福贡,56641,0.0
青海省,都兰,52836,0.0
云南省,永平,56746,0.0
云南省,永德,56849,0.0
云南省,永胜,56652,0.0
云南省,江城,56977,0.0
云南省,沧源,56944,0.0
云南省,泸水,56643,0.0
云南省,泸西,56886,0.0
云南省,洱源,56649,0.0
青海省,门源,52765,0.0
云南省,漾濞,56745,0.0
青海省,海晏,52853,0.0
青海省,贵德,52868,0.0
青海省,贵南,52955,0.0
青海省,西宁,52866,0.0
青海省,茫崖,51886,0.0
云南省,潞西,56844,0.0
青海省,祁连,52657,0.0
云南省,澜沧,56954,0.0
青海省,湟源,52855,0.0
青海省,湟中,52869,0.0
云南省,祥云,56756,0.0
云南省,维西,56548,0.0
北京市,顺义,54398,0.0
内蒙古自治区,伊克乌素,53522,0.0
内蒙古自治区,乌拉特中旗,53336,0.0
内蒙古自治区,乌拉特前旗,53433,0.0
内蒙古自治区,乌拉特后旗,53324,0.0
内蒙古自治区,乌拉盖,50913,0.0
陕西省,清涧,53757,0.0
内蒙古自治区,乌斯太,52607,0.0
内蒙古自治区,乌海,53512,0.0
内蒙古自治区,二连浩特,53068,0.0
内蒙古自治区,五原,53337,0.0
内蒙古自治区,伊金霍洛旗,53545,0.0
内蒙古自治区,乌审召,53547,0.0
内蒙古自治区,克什克腾旗,54117,0.0
内蒙古自治区,八里罕,54316,0.0
内蒙古自治区,兴和,53483,0.0
陕西省,横山,53740,0.0
陕西省,榆林,53646,0.0
内蒙古自治区,准格尔旗,53553,0.0
内蒙古自治区,凉城,53475,0.0
内蒙古自治区,包头,53446,0.0
内蒙古自治区,化德,53391,0.0
内蒙古自治区,乌审旗,53644,0.0
内蒙古自治区,乌兰浩特,50838,0.0
陕西省,靖边,53735,0.0
云南省,陇川,56835,0.0
云南省,绿春,56978,0.0
云南省,耿马,56946,0.0
云南省,腾冲,56739,0.0
云南省,蒙自,56985,0.0
云南省,西盟,56948,0.0
云南省,贡山,56533,0.0
云南省,镇康,56839,0.0
云南省,镇沅,56867,0.0
云南省,陆良,56788,0.0
云南省,香格里拉,56543,0.0
内蒙古自治区,临河,53513,0.0
云南省,鲁甸,56585,0.0
云南省,鹤庆,56654,0.0
陕西省,绥德,53754,0.0
云南省,龙陵,56841,0.0
陕西省,米脂,53750,0.0
陕西省,神木,53651,0.0
内蒙古自治区,东乌珠穆沁旗,50915,0.0
内蒙古自治区,东胜,53543,0.0
内蒙古自治区,丰镇,53484,0.0
云南省,楚雄,56768,0.0
云南省,梁河,56840,0.0
云南省,景谷,56952,0.0
﻿安徽省,铜陵,58429,0.0
﻿新疆维吾尔自治区,英吉沙,51802,0.0
﻿新疆维吾尔自治区,巩留,51435,0.0
上海市,奉贤,58463,0.0
上海市,宝山,58362,0.0
﻿广东省,佛冈,59087,0.0
﻿山西省,和顺,53788,0.0
﻿山西省,五寨,53663,0.0
﻿山东省,昌邑,54841,0.0
﻿山东省,平阴,54818,0.0
﻿安徽省,望江,58418,0.0
﻿江苏省,高邮,58241,0.0
﻿宁夏回族自治区,灵武,53619,0.0
﻿四川省,理塘,56257,0.0
﻿四川省,泸州,57602,0.0
﻿四川省,万源,57237,0.0
﻿吉林省,洮南,50939,0.0
﻿内蒙古自治区,满洲里,50514,0.0
﻿内蒙古自治区,八里罕,54316,0.0
﻿云南省,洱源,56649,0.0
﻿云南省,曲靖,56786,0.0
﻿江苏省,新沂,58035,0.0
﻿江西省,新余,57796,0.0
云南省,景洪,56959,0.0
﻿甘肃省,徽县,57110,0.0
﻿青海省,德令哈,52737,0.0
﻿陕西省,杨凌,57123,0.0
﻿陕西省,富平,57042,0.0
﻿辽宁省,鞍山,54339,0.0
﻿辽宁省,彰武,54236,0.0
﻿贵州省,册亨,57909,0.0
﻿西藏自治区,那曲,55299,0.0
﻿西藏自治区,尼木,55585,0.0
上海市,嘉定,58365,0.0
﻿湖南省,衡阳市,57872,0.0
﻿江西省,泰和,57899,0.0
﻿湖南省,临湘,57585,0.0
﻿湖北省,公安,57477,0.0
﻿浙江省,江山,58632,0.0
﻿河南省,虞城,58006,0.0
﻿河南省,民权,58004,0.0
﻿河南省,安阳市,53898,0.0
﻿河北省,赤城,54404,0.0
﻿河北省,徐水,54601,0.0
﻿河北省,孟村,54644,0.0
黑龙江省,龙江,50739,0.0
黑龙江省,齐齐哈尔,50745,0.0
上海市,松江,58462,0.0
云南省,广南,59007,0.0
黑龙江省,杜蒙,50842,0.0
云南省,双江,56950,0.0
云南省,墨江,56962,0.0
云南省,大理,56751,0.0
云南省,孟连,56949,0.0
云南省,宁洱,56961,0.0
云南省,宾川,56752,0.0
云南省,寻甸,56781,0.0
云南省,巍山,56757,0.0
云南省,开远,56982,0.0
上海市,浦东,58370,0.0
云南省,弥渡,56755,0.0
黑龙江省,大庆,50850,0.0
云南省,德钦,56444,0.0
云南省,思茅,56964,0.0
云南省,施甸,56842,0.0
云南省,昌宁,56843,0.0
云南省,昭通,56586,0.0
云南省,景东,56856,0.0
黑龙江省,加格达奇,50442,0.0
云南省,双柏,56862,0.0
云南省,南涧,56851,0.0
云南省,南华,56767,0.0
黑龙江省,泰来,50844,0.0
上海市,金山,58460,0.0
上海市,闵行,58361,0.0
上海市,青浦,58461,0.0
云南省,东川,56688,0.0
云南省,临沧,56951,0.0
云南省,丽江,56651,0.0
云南省,云县,56854,0.0
云南省,云龙,56742,0.0
黑龙江省,肇源,50954,0.0
云南省,保山,56748,0.0
云南省,元江,56966,0.0
云南省,元阳,56976,0.0
云南省,兰坪,56645,0.0
云南省,凤庆,56846,0.0
黑龙江省,甘南,50741,0.0
云南省,剑川,56646,0.0
黑龙江省,漠河,50136,0.0
云南省,勐海,56958,0.0
云南省,勐腊,56969,0.0
内蒙古自治区,卓资,53472,0.0
内蒙古自治区,博克图,50632,0.0
陕西省,志丹,53832,0.0
内蒙古自治区,胡尔勒,50832,0.0
辽宁省,兴城,54455,0.0
辽宁省,义县,54334,0.0
辽宁省,丹东,54497,0.0
辽宁省,东港,54590,0.0
内蒙古自治区,科尔沁左翼中旗,54047,0.0
内蒙古自治区,科尔沁左翼后旗,54231,0.0
内蒙古自治区,突泉,50934,0.0
内蒙古自治区,索伦,50834,0.0
内蒙古自治区,翁牛特旗,54213,0.0
贵州省,镇远,57738,0.0
辽宁省,凌源,54327,0.0
内蒙古自治区,舍伯吐,54039,0.0
内蒙古自治区,苏尼特右旗,53272,0.0
贵州省,都匀,57827,0.0
贵州省,道真,57623,0.0
内蒙古自治区,苏尼特左旗,53195,0.0
内蒙古自治区,莫力达瓦旗,50645,0.0
内蒙古自治区,西乌珠穆沁旗,54012,0.0
内蒙古自治区,赤峰,54218,0.0
内蒙古自治区,达尔罕茂明安联合旗,53352,0.0
辽宁省,凌海,54330,0.0
辽宁省,凤城,54494,0.0
辽宁省,海城,54472,0.0
辽宁省,彰武,54236,0.0
辽宁省,沈阳,54342,0.0
辽宁省,桓仁,54365,0.0
辽宁省,本溪县,54349,0.0
辽宁省,本溪,54346,0.0
辽宁省,朝阳,54324,0.0
辽宁省,普兰店,54569,0.0
辽宁省,旅顺,54660,0.0
辽宁省,新民,54333,0.0
辽宁省,抚顺,54351,0.0
辽宁省,建昌,54452,0.0
辽宁省,北票,54323,0.0
辽宁省,建平,54326,0.0
辽宁省,康平,54244,0.0
辽宁省,庄河,54584,0.0
辽宁省,岫岩,54486,0.0
辽宁省,宽甸,54493,0.0
辽宁省,大连,54662,0.0
辽宁省,喀左,54328,0.0
辽宁省,台安,54336,0.0
辽宁省,北镇,54331,0.0
内蒙古自治区,达拉特旗,53457,0.0
内蒙古自治区,通辽,54135,0.0
内蒙古自治区,那仁宝力格,53083,0.0
北京市,密云,54416,0.0
内蒙古自治区,额济纳旗,52267,0.0
内蒙古自治区,高力板,54031,0.0
北京市,丰台,54514,0.0
北京市,北京,54511,0.0
贵州省,天柱,57840,0.0
北京市,大兴,54594,0.0
贵州省,印江,57732,0.0
贵州省,务川,57634,0.0
贵州省,剑河,57835,0.0
北京市,平谷,54424,0.0
内蒙古自治区,鄂托克前旗,53730,0.0
北京市,延庆,54406,0.0
北京市,怀柔,54419,0.0
北京市,房山,54596,0.0
北京市,昌平,54499,0.0
北京市,朝阳,54433,0.0
北京市,海淀,54399,0.0
北京市,石景山,54513,0.0
北京市,通州,54431,0.0
北京市,门头沟,54505,0.0
内蒙古自治区,额尔古纳,50425,0.0
贵州省,德江,57637,0.0
贵州省,思南,57731,0.0
贵州省,息烽,57718,0.0
内蒙古自治区,鄂托克旗,53529,0.0
内蒙古自治区,鄂温克旗,50525,0.0
内蒙古自治区,锡林浩特,54102,0.0
内蒙古自治区,镶黄旗,53289,0.0
安徽省,亳州,58102,0.0
内蒙古自治区,阿尔山,50727,0.0
内蒙古自治区,阿巴嘎旗,53192,0.0
贵州省,沿河,57636,0.0
内蒙古自治区,阿拉善右旗,52576,0.0
内蒙古自治区,阿拉善左旗,53602,0.0
贵州省,正安,57625,0.0
内蒙古自治区,阿荣旗,50647,0.0
内蒙古自治区,阿鲁科尔沁旗,54122,0.0
贵州省,松桃,57647,0.0
内蒙古自治区,陈巴尔虎旗,50524,0.0
内蒙古自治区,雅布赖,52575,0.0
内蒙古自治区,集宁,53480,0.0
内蒙古自治区,霍林郭勒,50924,0.0
内蒙古自治区,青龙山,54132,0.0
辽宁省,法库,54245,0.0
辽宁省,灯塔,54348,0.0
内蒙古自治区,吉兰太,53502,0.0
内蒙古自治区,巴雅尔吐胡硕,50928,0.0
内蒙古自治区,察哈尔右翼前旗,53481,0.0
内蒙古自治区,察哈尔右翼后旗,53384,0.0
陕西省,吴旗,53738,0.0
陕西省,吴堡,53756,0.0
内蒙古自治区,小二沟,50548,0.0
内蒙古自治区,岗子,54214,0.0
内蒙古自治区,巴彦诺尔贡,52495,0.0
内蒙古自治区,巴林右旗,54113,0.0
内蒙古自治区,巴林左旗,54027,0.0
内蒙古自治区,希拉穆仁,53367,0.0
内蒙古自治区,宝过图,54226,0.0
内蒙古自治区,库伦旗,54234,0.0
内蒙古自治区,开鲁,54134,0.0
陕西省,佳县,53658,0.0
内蒙古自治区,扎兰屯,50639,0.0
内蒙古自治区,扎赉特旗,50833,0.0
内蒙古自治区,扎鲁特旗,54026,0.0
内蒙古自治区,托克托,53467,0.0
内蒙古自治区,拐子湖,52378,0.0
重庆市,黔江,57536,0.0
内蒙古自治区,察哈尔右翼中旗,53378,0.0
内蒙古自治区,宁城,54320,0.0
辽宁省,瓦房店,54563,0.0
内蒙古自治区,图里河,50434,0.0
陕西省,延长,53854,0.0
陕西省,延川,53850,0.0
陕西省,府谷,53567,0.0
内蒙古自治区,呼和浩特,53463,0.0
内蒙古自治区,呼和浩特市郊区,53466,0.0
